Perm,CUSIP,SIC,ISSUER_NAME,SHARES,PRICE,OFFER_SIZE,ISSUE_DATE,ANNOUNCEMENT_DATE,PERIOD
10455,12589740,3572,CMS ENHANCEMENTS INC,1500000,3.5,5.25,1988-10-20,1988-09-18,32.0
56741,18987310,3792,COACHMEN INDUSTRIES INC,500000,30.25,15.125,1983-03-01,1983-02-17,12.0
24302,19089310,3841,COBE LABORATORIES INC,375000,24.75,9.281,1978-05-18,,
24417,19190010,3576,CODENOLL TECHNOLGY CORP,550000,13.0,7.15,1983-01-19,1982-12-06,44.0
24441,19210810,1041,COEUR D'ALENE MINES CORP,1000000,19.5,19.5,1983-08-02,,
24441,19210810,1041,COEUR D'ALENE MINES CORP,1100000,17.5,19.25,1986-12-03,1986-11-07,26.0
64901,19243210,3573,COGNITRONICS CORP,500000,13.0,6.5,1983-07-07,,
24476,19247910,3826,COHERENT INC,400000,26.5,10.6,1980-11-19,1980-10-16,34.0
24476,19247910,3826,COHERENT INC,500000,34.0,17.0,1983-03-29,1983-03-15,14.0
43000,19328810,5999,COLE NATIONAL CORP,375000,28.875,10.828,1982-05-10,1982-05-04,6.0
43000,19328810,5999,COLE NATIONAL CORP,375000,39.625,14.859,1982-11-09,1982-11-04,5.0
24548,19419210,7391,COLLABORATIVE RESEARCH,1600000,10.5,16.8,1983-05-12,1983-04-08,34.0
86765,12639V10,7819,COLOR SYSTEMS TECHNOLOGY,700000,26.0,18.2,1986-08-13,1986-06-10,64.0
24716,19626710,5211,COLOR TILE INC,1000000,17.5,17.5,1980-03-25,1980-02-19,35.0
18999,20027310,3499,COMBUSTION ENGINEERING,3500000,33.75,118.125,1987-04-08,1987-03-25,14.0
25022,20030010,4841,COMCAST CORP,450000,29.25,13.163,1980-10-08,1980-09-17,21.0
25073,20033210,3661,COMDIAL CORP,700000,2.75,1.925,1980-06-10,1980-03-26,76.0
25073,20033210,3661,COMDIAL CORP,1800000,20.875,37.575,1983-01-25,1982-12-15,41.0
86861,20164710,6711,COMMERCIAL FEDERAL CORP,1150000,13.5,15.525,1985-11-06,1985-09-17,50.0
41064,20341710,4899,COMMUNICATIONS SATELLITE,1000000,77.5,77.5,1982-12-22,1982-12-03,19.0
53401,20401510,8063,COMMUNITY PSYCHIATIC CNT,900000,29.875,26.888,1983-04-06,1983-04-04,2.0
25508,03445410,7395,COMPACT VIDEO SYSTEMS,600000,15.375,9.225,1980-07-01,1980-05-28,34.0
25583,20462010,8062,COMPREHENSIVE CARE CORP,1400000,15.5,21.7,1981-08-12,1981-07-23,20.0
25583,20462010,8062,COMPREHENSIVE CARE CORP,1300000,28.0,36.4,1983-04-21,1983-04-06,15.0
25604,20467210,3663,COMPRESSION LABS INC,900000,11.0,9.9,1986-07-30,1986-07-10,20.0
53508,20490010,3555,COMPUGRAPHIC CORP,300000,29.75,8.925,1976-04-21,,
25698,29265K10,3577,COMPUSCAN INC,2000000,2.875,5.75,1982-07-23,1982-05-27,57.0
25727,86792710,3679,COMPUTER & COMMUN TECHL,700000,44.0,30.8,1981-04-23,,
25850,20504210,5045,COMPUTER DEVICES INC,1000000,11.25,11.25,1983-07-08,1983-05-20,49.0
25989,20417110,3576,COMPUTER NETWORK CORP,360000,8.375,3.015,1978-03-15,,
26009,20530010,3679,COMPUTER PRODUCTS INC,450000,8.25,3.713,1980-06-19,1980-05-29,21.0
26084,20547710,7372,COMPUTER TASK GROUP,1000000,17.75,17.75,1985-07-25,1985-07-11,14.0
60900,20557810,3573,COMPUTERVISION CORP,900000,44.125,39.713,1980-08-14,1980-08-05,9.0
26199,20564410,7372,COMSERV CORP,400000,7.5,3.0,1980-07-16,1980-05-23,54.0
26199,20564410,7372,COMSERV CORP,400000,17.5,7.0,1981-04-23,1981-02-23,59.0
26279,20591210,7372,COMSHARE INC,600000,16.625,9.975,1980-12-03,1980-11-13,20.0
26201,20582620,3663,COMTECH TELECOMMUN CORP,750000,8.5,6.375,1983-08-09,1983-07-14,26.0
10942,20586210,3661,COMVERSE TECHNOLOGY INC,17000000,0.085,1.445,1988-12-21,1988-11-03,48.0
10937,20651H10,8200,CONCORDE CAREER COLLEGES,435000,4.5,1.957,1989-08-08,,
26404,20731210,6711,CONIFER/ESSEX GROUP INC,400000,30.0,12.0,1983-08-24,1983-07-19,36.0
30779,20829110,3811,CONRAC CORP,650000,35.375,22.994,1983-02-25,1983-02-16,9.0
55722,20837410,3273,CONROCK CO,750000,26.625,19.969,1983-07-20,1983-04-07,104.0
